dataset,sequence,rmse_aligned,rmse_no_align,status
euroc,V1_01_easy,0.05,3.998,Successful
euroc,V1_02_medium,0.124,3.655,Successful
euroc,V1_03_difficult,0.118,3.35,Successful
euroc,V2_01_easy,0.197,2.258,Moderate
euroc,V2_02_medium,12167.356,15917.89,Failed
euroc,V2_03_difficult,0.187,1.847,Moderate
bonn,rgbd_bonn_balloon,0.161,2.558,Successful
bonn,rgbd_bonn_balloon2,0.127,2.611,Successful
bonn,rgbd_bonn_crowd,0.535,2.148,Degraded
bonn,rgbd_bonn_crowd2,0.02,2.17,Partial/Misleading
bonn,rgbd_bonn_person_tracking,0.332,2.302,Moderate
bonn,rgbd_bonn_person_tracking2,0.022,2.084,Partial/Misleading
tum,rgbd_dataset_freiburg2_desk_with_person,0.73,2.238,Moderate
tum,rgbd_dataset_freiburg3_sitting_halfsphere,0.308,2.821,Moderate
tum,rgbd_dataset_freiburg3_sitting_rpy,0.055,3.156,Successful
tum,rgbd_dataset_freiburg3_sitting_static,0.035,3.403,Successful
tum,rgbd_dataset_freiburg3_sitting_xyz,0.182,3.381,Moderate
tum,rgbd_dataset_freiburg3_walking_halfsphere,0.475,3.082,Moderate
tum,rgbd_dataset_freiburg3_walking_rpy,0.075,3.112,Successful
tum,rgbd_dataset_freiburg3_walking_static,0.017,3.625,Successful
tum,rgbd_dataset_freiburg3_walking_xyz,0.249,3.37,Moderate
wild,scene1_table_tracking1,1.162,2.423,Poor
wild,scene1_ball,0.771,2.365,Moderate
wild,scene1_table_tracking2,0.777,2.611,Moderate
wild,scene1_umbrella,0.44,2.86,Moderate
wild,scene1_crowd,0.845,2.673,Poor
wild,scene1_person_tracking,1.453,3.5,Poor
wild,scene1_stones,0.595,2.803,Moderate
wild,scene1_racket,1.192,2.813,Poor
wild,scene2_ANYmal1,0.633,3.233,Moderate
wild,scene2_ANYmal2,1.509,2.171,Poor
