Dataset,Sequence,SE3_RMSE_m,SIM3_RMSE_m,Improvement %,Notes,Reasoning
Bonn,rgbd_bonn_balloon,0.161,0.112,30.38,Clear scale correction,
Bonn,rgbd_bonn_balloon2,0.127,0.100,21.64,Moderate scale correction,
Bonn,rgbd_bonn_crowd,0.535,0.066,87.66,Large Sim(3) improvement, dynamic drift corrected by scale
Bonn,rgbd_bonn_crowd2,0.020,0.002,89.96,Short/partial trajectory, improvement likely misleading
Bonn,rgbd_bonn_person_tracking,0.332,0.204,38.55,Moderate improvement, dynamics still affect tracking
Bonn,rgbd_bonn_person_tracking2,0.022,0.011,52.12,Short/partial trajectory, improvement likely misleading
Bonn,rgbd_bonn_moving_nonobstructing_box,0.222,0.166,25.38,Moderate scale correction,
Bonn,rgbd_bonn_moving_nonobstructing_box2,0.446,0.118,73.50,Strong scale correction,
EuRoC,V1_01_easy,0.050,0.049,2.76,Minimal change, IMU already constrains scale
EuRoC,V1_02_medium,0.124,0.124,0.16,Negligible change,
EuRoC,V1_03_difficult,0.118,0.118,0.05,Negligible change,
EuRoC,V2_01_easy,0.197,0.192,2.47,Minimal change,
EuRoC,V2_02_medium,12167.356,2.256,99.98,Failure/divergence case, improvement not representative
EuRoC,V2_03_difficult,0.187,0.186,0.81,Negligible change,
TUM RGB-D,rgbd_dataset_freiburg2_desk_with_person,0.730,0.161,77.91,Strong scale correction, dynamic scene
TUM RGB-D,rgbd_dataset_freiburg3_sitting_halfsphere,0.308,0.291,5.43,Minor improvement,
TUM RGB-D,rgbd_dataset_freiburg3_sitting_rpy,0.055,0.051,6.91,Small improvement,
TUM RGB-D,rgbd_dataset_freiburg3_sitting_static,0.035,0.022,36.55,Static scene improves,
TUM RGB-D,rgbd_dataset_freiburg3_sitting_xyz,0.182,0.069,61.98,Strong improvement under translation,
TUM RGB-D,rgbd_dataset_freiburg3_walking_halfsphere,0.475,0.273,42.59,Moderate improvement,
TUM RGB-D,rgbd_dataset_freiburg3_walking_rpy,0.075,0.025,66.33,Strong improvement,
TUM RGB-D,rgbd_dataset_freiburg3_walking_static,0.017,0.008,53.04,Best-case static/dynamic-mask scenario,
TUM RGB-D,rgbd_dataset_freiburg3_walking_xyz,0.249,0.038,84.89,Large improvement,
Wild SLAM Mocap,scene1_table_tracking1,1.162,0.119,89.77,Huge scale correction,
Wild SLAM Mocap,scene1_ball,0.771,0.026,96.65,Huge scale correction,
Wild SLAM Mocap,scene1_table_tracking2,0.777,0.149,80.79,Strong improvement,
Wild SLAM Mocap,scene1_umbrella,0.440,0.089,79.81,Strong improvement,
Wild SLAM Mocap,scene1_crowd,0.845,0.028,96.64,Huge scale correction,
Wild SLAM Mocap,scene1_person_tracking,1.453,0.021,98.52,Huge scale correction,
Wild SLAM Mocap,scene1_stones,0.595,0.305,48.73,Hard case, limited improvement
Wild SLAM Mocap,scene1_racket,1.192,0.063,94.70,Huge scale correction,
Wild SLAM Mocap,scene2_ANYmal1,0.633,0.117,81.54,Strong improvement,
Wild SLAM Mocap,scene2_ANYmal2,1.509,1.138,24.59,Limited improvement, severe degradation remains
